user_id,asset_id,priority_level,anomaly_category,metric_value,baseline_value,status,detected_at,description
USR_RET_015,BTC,P0,STOP_LOSS_SLIPPAGE,3.73,2.0,OPEN,2026-09-17 16:58:00.000000,Critical execution slippage of 3.73% detected on trade TRD_800407 (Order ORD_500407). Breaches institutional SLA of 2.00%.
USR_RET_012,BTC,P0,STOP_LOSS_SLIPPAGE,3.84,2.0,OPEN,2026-09-18 07:02:00.000000,Critical execution slippage of 3.84% detected on trade TRD_800310 (Order ORD_500310). Breaches institutional SLA of 2.00%.
USR_RET_012,BTC,P0,STOP_LOSS_SLIPPAGE,4.22,2.0,OPEN,2026-09-18 11:55:00.000000,Critical execution slippage of 4.22% detected on trade TRD_800307 (Order ORD_500307). Breaches institutional SLA of 2.00%.
USR_HFT_005,BTC,P1,WASH_TRADE_DETECTED,3.43,30.0,OPEN,2026-08-22 05:53:20.430055,Potential circular wash trade: USR_HFT_005 executed opposing SELL/BUY of 0.0105 BTC within 3.43s (Threshold: <= 5.0s).
USR_HFT_001,BTC,P1,WASH_TRADE_DETECTED,2.15,30.0,OPEN,2026-08-24 04:20:21.149073,Potential circular wash trade: USR_HFT_001 executed opposing BUY/SELL of 0.0029 BTC within 2.15s (Threshold: <= 5.0s).
USR_HFT_001,BTC,P1,WASH_TRADE_DETECTED,2.76,30.0,OPEN,2026-08-25 11:22:51.762784,Potential circular wash trade: USR_HFT_001 executed opposing SELL/BUY of 0.0026 BTC within 2.76s (Threshold: <= 5.0s).
USR_HFT_003,BTC,P1,WASH_TRADE_DETECTED,1.43,30.0,OPEN,2026-08-26 10:00:38.426178,Potential circular wash trade: USR_HFT_003 executed opposing BUY/SELL of 0.0028 BTC within 1.43s (Threshold: <= 5.0s).
USR_HFT_005,BTC,P1,WASH_TRADE_DETECTED,1.11,30.0,OPEN,2026-08-31 09:53:18.110995,Potential circular wash trade: USR_HFT_005 executed opposing BUY/SELL of 0.0127 BTC within 1.11s (Threshold: <= 5.0s).
USR_HFT_001,BTC,P1,WASH_TRADE_DETECTED,3.78,30.0,OPEN,2026-09-03 08:15:04.783805,Potential circular wash trade: USR_HFT_001 executed opposing BUY/SELL of 0.0097 BTC within 3.78s (Threshold: <= 5.0s).
USR_HFT_004,BTC,P1,WASH_TRADE_DETECTED,3.44,30.0,OPEN,2026-09-04 00:54:47.442593,Potential circular wash trade: USR_HFT_004 executed opposing SELL/BUY of 0.0146 BTC within 3.44s (Threshold: <= 5.0s).
USR_HFT_004,BTC,P1,WASH_TRADE_DETECTED,0.97,30.0,OPEN,2026-09-13 19:03:42.970139,Potential circular wash trade: USR_HFT_004 executed opposing BUY/SELL of 0.0106 BTC within 0.97s (Threshold: <= 5.0s).
USR_HFT_004,BTC,P1,WASH_TRADE_DETECTED,1.47,30.0,OPEN,2026-09-13 21:46:55.473997,Potential circular wash trade: USR_HFT_004 executed opposing SELL/BUY of 0.0084 BTC within 1.47s (Threshold: <= 5.0s).
USR_HFT_002,BTC,P1,WASH_TRADE_DETECTED,3.09,30.0,OPEN,2026-09-15 09:08:01.094421,Potential circular wash trade: USR_HFT_002 executed opposing SELL/BUY of 0.0047 BTC within 3.09s (Threshold: <= 5.0s).
USR_HFT_002,BTC,P1,WASH_TRADE_DETECTED,2.44,30.0,OPEN,2026-09-15 21:14:10.444814,Potential circular wash trade: USR_HFT_002 executed opposing SELL/BUY of 0.0041 BTC within 2.44s (Threshold: <= 5.0s).
USR_HFT_002,BTC,P1,WASH_TRADE_DETECTED,3.62,30.0,OPEN,2026-09-16 19:44:03.616558,Potential circular wash trade: USR_HFT_002 executed opposing BUY/SELL of 0.0140 BTC within 3.62s (Threshold: <= 5.0s).
USR_HFT_003,BTC,P1,WASH_TRADE_DETECTED,1.45,30.0,OPEN,2026-09-16 21:33:09.449055,Potential circular wash trade: USR_HFT_003 executed opposing SELL/BUY of 0.0108 BTC within 1.45s (Threshold: <= 5.0s).
USR_HFT_005,BTC,P1,WASH_TRADE_DETECTED,3.55,30.0,OPEN,2026-09-19 08:41:55.554836,Potential circular wash trade: USR_HFT_005 executed opposing SELL/BUY of 0.0028 BTC within 3.55s (Threshold: <= 5.0s).
USR_HFT_003,BTC,P1,WASH_TRADE_DETECTED,1.95,30.0,OPEN,2026-09-19 20:24:37.953236,Potential circular wash trade: USR_HFT_003 executed opposing SELL/BUY of 0.0141 BTC within 1.95s (Threshold: <= 5.0s).
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.96,3.0,OPEN,2026-08-22 18:00:00.000000,"Platform volume anomaly detected at 2026-08-22 18:00:00: 0.20 BTC (Baseline Mean: 0.04 BTC, Z-Score: 3.96 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.33,3.0,OPEN,2026-08-27 11:00:00.000000,"Platform volume anomaly detected at 2026-08-27 11:00:00: 0.18 BTC (Baseline Mean: 0.06 BTC, Z-Score: 3.33 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.84,3.0,OPEN,2026-08-30 05:00:00.000000,"Platform volume anomaly detected at 2026-08-30 05:00:00: 0.27 BTC (Baseline Mean: 0.06 BTC, Z-Score: 3.84 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.5,3.0,OPEN,2026-09-04 06:00:00.000000,"Platform volume anomaly detected at 2026-09-04 06:00:00: 0.28 BTC (Baseline Mean: 0.07 BTC, Z-Score: 3.50 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.03,3.0,OPEN,2026-09-09 08:00:00.000000,"Platform volume anomaly detected at 2026-09-09 08:00:00: 0.21 BTC (Baseline Mean: 0.07 BTC, Z-Score: 3.03 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.07,3.0,OPEN,2026-09-10 16:00:00.000000,"Platform volume anomaly detected at 2026-09-10 16:00:00: 0.24 BTC (Baseline Mean: 0.08 BTC, Z-Score: 3.07 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.16,3.0,OPEN,2026-09-15 13:00:00.000000,"Platform volume anomaly detected at 2026-09-15 13:00:00: 0.23 BTC (Baseline Mean: 0.06 BTC, Z-Score: 3.16 > 3.00)."
PLATFORM_AGGREGATE,BTC,P2,VOLUME_SPIKE,3.68,3.0,OPEN,2026-09-17 12:00:00.000000,"Platform volume anomaly detected at 2026-09-17 12:00:00: 0.30 BTC (Baseline Mean: 0.07 BTC, Z-Score: 3.68 > 3.00)."
