trade_id,user_id,entry_time,entry_price,qty,unmanaged_max_drawdown_pct,unmanaged_pnl,sl_2_triggered,sl_2_pnl,sl_2_exit_time,sl_2_saved_capital,sl_5_triggered,sl_5_pnl,sl_5_exit_time,sl_5_saved_capital,sl_10_triggered,sl_10_pnl,sl_10_exit_time,sl_10_saved_capital
TRD_800312,USR_RET_012,2026-08-25 06:12:00,7078865.7813,0.0128,-2.94,-1831.88,True,-2392.55,2026-08-25 18:30:00,-560.67,False,-1831.88,,0.0,False,-1831.88,,0.0
TRD_800401,USR_RET_015,2026-08-25 09:20:00,7131024.3928,0.0166,-3.65,-3038.35,True,-3125.7,2026-08-25 14:30:00,-87.35,False,-3038.35,,0.0,False,-3038.35,,0.0
TRD_800194,USR_RET_007,2026-08-25 11:19:00,7155490.3097,0.0392,-3.98,-7853.78,True,-7406.5,2026-08-25 14:30:00,447.28,False,-7853.78,,0.0,False,-7853.78,,0.0
TRD_800075,USR_RET_003,2026-08-25 12:34:00,7059605.5849,0.0163,-2.68,-1451.87,True,-3038.48,2026-08-25 18:30:00,-1586.61,False,-1451.87,,0.0,False,-1451.87,,0.0
TRD_800127,USR_RET_005,2026-08-25 15:10:00,7017177.6874,0.0452,-2.09,1514.86,True,-8375.08,2026-08-26 20:30:00,-9889.94,False,1514.86,,0.0,False,1514.86,,0.0
TRD_800315,USR_RET_012,2026-08-25 15:37:00,7037853.2911,0.0082,-2.38,-156.65,True,-1523.85,2026-08-26 02:30:00,-1367.2,False,-156.65,,0.0,False,-156.65,,0.0
TRD_800098,USR_RET_004,2026-08-25 21:20:00,7052814.1119,0.0192,-2.59,494.01,True,-3575.62,2026-08-26 02:30:00,-4069.63,False,494.01,,0.0,False,494.01,,0.0
TRD_800067,USR_RET_003,2026-08-26 00:22:00,7024536.7668,0.0517,-2.19,2104.25,True,-9589.5,2026-08-26 19:30:00,-11693.75,False,2104.25,,0.0,False,2104.25,,0.0
TRD_800344,USR_RET_013,2026-08-26 01:06:00,7005901.4147,0.0167,-1.93,636.72,False,636.72,,0.0,False,636.72,,0.0,False,636.72,,0.0
TRD_800006,USR_RET_001,2026-08-26 01:59:00,6942006.2325,0.0219,-1.03,2600.01,False,2600.01,,0.0,False,2600.01,,0.0,False,2600.01,,0.0
TRD_800341,USR_RET_013,2026-08-26 03:37:00,7004761.3164,0.0061,-1.92,451.73,False,451.73,,0.0,False,451.73,,0.0,False,451.73,,0.0
TRD_800358,USR_RET_014,2026-08-26 04:16:00,6991496.0453,0.027,-1.73,2359.05,False,2359.05,,0.0,False,2359.05,,0.0,False,2359.05,,0.0
TRD_800364,USR_RET_014,2026-08-26 05:32:00,6981181.9379,0.0059,-1.59,719.03,False,719.03,,0.0,False,719.03,,0.0,False,719.03,,0.0
TRD_800363,USR_RET_014,2026-08-26 09:05:00,7016141.2929,0.0218,-2.08,414.69,True,-4038.71,2026-08-26 20:30:00,-4453.4,False,414.69,,0.0,False,414.69,,0.0
TRD_800133,USR_RET_005,2026-08-26 10:44:00,7007508.1611,0.0126,-1.96,210.08,False,210.08,,0.0,False,210.08,,0.0,False,210.08,,0.0
TRD_800342,USR_RET_013,2026-08-26 11:08:00,7022206.2905,0.0588,-2.16,112.65,True,-10902.82,2026-08-26 20:30:00,-11015.47,False,112.65,,0.0,False,112.65,,0.0
TRD_800221,USR_RET_009,2026-08-26 19:49:00,6893407.2747,0.0064,-0.33,758.56,False,758.56,,0.0,False,758.56,,0.0,False,758.56,,0.0
TRD_800175,USR_RET_007,2026-08-27 04:21:00,6974700.93,0.0101,-2.44,-1221.65,True,-1860.09,2026-08-28 21:30:00,-638.44,False,-1221.65,,0.0,False,-1221.65,,0.0
TRD_800161,USR_RET_006,2026-08-27 05:47:00,6967547.9179,0.0488,-2.34,-5660.4,True,-8978.17,2026-08-28 21:30:00,-3317.77,False,-5660.4,,0.0,False,-5660.4,,0.0
TRD_800136,USR_RET_005,2026-08-27 08:08:00,6983241.4122,0.036,-2.56,-4941.9,True,-6638.15,2026-08-28 21:30:00,-1696.25,False,-4941.9,,0.0,False,-4941.9,,0.0
TRD_800063,USR_RET_003,2026-08-27 11:34:00,6992786.2347,0.0691,-2.69,-11397.62,True,-12758.98,2026-08-28 21:30:00,-1361.36,False,-11397.62,,0.0,False,-11397.62,,0.0
TRD_800229,USR_RET_009,2026-08-27 18:04:00,7039638.8336,0.0261,-3.34,-5262.71,True,-4851.53,2026-08-28 21:30:00,411.18,False,-5262.71,,0.0,False,-5262.71,,0.0
TRD_800239,USR_RET_009,2026-08-27 20:53:00,7347674.3253,0.029,-7.39,-14093.44,True,-5626.47,2026-08-27 21:30:00,8466.97,True,-11990.21,2026-08-28 19:30:00,2103.23,False,-14093.44,,0.0
TRD_800122,USR_RET_005,2026-08-28 05:47:00,7155934.416,0.0094,-4.91,-2497.02,True,-1776.16,2026-08-28 15:30:00,720.86,False,-2497.02,,0.0,False,-2497.02,,0.0
TRD_800400,USR_RET_015,2026-08-28 12:05:00,7077179.8031,0.0139,-3.85,-2469.73,True,-2597.54,2026-08-28 20:30:00,-127.81,False,-2469.73,,0.0,False,-2469.73,,0.0
TRD_800069,USR_RET_003,2026-08-28 14:58:00,7031474.4676,0.0329,-3.23,-5152.12,True,-6108.44,2026-08-28 21:30:00,-956.32,False,-5152.12,,0.0,False,-5152.12,,0.0
TRD_800396,USR_RET_015,2026-08-28 17:21:00,7066100.4015,0.0188,-3.7,-3321.47,True,-3507.72,2026-08-28 21:30:00,-186.25,False,-3321.47,,0.0,False,-3321.47,,0.0
TRD_800059,USR_RET_002,2026-08-28 19:54:00,7054992.8531,0.0253,-3.55,-2804.62,True,-4713.08,2026-08-28 21:30:00,-1908.46,False,-2804.62,,0.0,False,-2804.62,,0.0
TRD_800294,USR_RET_011,2026-08-28 23:49:00,7109243.3382,0.0217,-3.83,-3101.65,True,-4073.53,2026-08-29 00:30:00,-971.88,False,-3101.65,,0.0,False,-3101.65,,0.0
TRD_800197,USR_RET_008,2026-08-29 02:03:00,6865620.7991,0.0128,-0.41,803.59,False,803.59,,0.0,False,803.59,,0.0,False,803.59,,0.0
TRD_800260,USR_RET_010,2026-08-29 05:11:00,6901760.3421,0.0113,-1.26,-615.97,False,-615.97,,0.0,False,-615.97,,0.0,False,-615.97,,0.0
TRD_800246,USR_RET_010,2026-08-29 09:42:00,6877426.0778,0.0277,-0.91,-979.58,False,-979.58,,0.0,False,-979.58,,0.0,False,-979.58,,0.0
TRD_800289,USR_RET_011,2026-08-29 22:13:00,6927501.8395,0.0234,-1.63,102.73,False,102.73,,0.0,False,102.73,,0.0,False,102.73,,0.0
TRD_800204,USR_RET_008,2026-08-30 01:47:00,6931092.715,0.0195,-1.68,403.86,False,403.86,,0.0,False,403.86,,0.0,False,403.86,,0.0
TRD_800170,USR_RET_006,2026-08-30 05:34:00,6929987.8782,0.0384,-1.67,114.98,False,114.98,,0.0,False,114.98,,0.0,False,114.98,,0.0
TRD_800381,USR_RET_015,2026-08-30 05:49:00,6934831.1205,0.1134,-1.74,-211.88,False,-211.88,,0.0,False,-211.88,,0.0,False,-211.88,,0.0
TRD_800102,USR_RET_004,2026-08-30 11:36:00,6936816.2431,0.0882,-1.76,388.39,False,388.39,,0.0,False,388.39,,0.0,False,388.39,,0.0
TRD_800081,USR_RET_003,2026-08-30 12:37:00,6932800.6404,0.0229,-1.71,-35.89,False,-35.89,,0.0,False,-35.89,,0.0,False,-35.89,,0.0
TRD_800104,USR_RET_004,2026-08-30 14:14:00,6927514.7147,0.0054,-1.63,-337.79,False,-337.79,,0.0,False,-337.79,,0.0,False,-337.79,,0.0
TRD_800205,USR_RET_008,2026-08-30 15:13:00,6919568.0871,0.036,-1.52,-1863.68,False,-1863.68,,0.0,False,-1863.68,,0.0,False,-1863.68,,0.0
TRD_800304,USR_RET_011,2026-08-30 16:43:00,6932218.1511,0.008,-1.7,-385.51,False,-385.51,,0.0,False,-385.51,,0.0,False,-385.51,,0.0
TRD_800252,USR_RET_010,2026-08-30 17:42:00,6982239.2789,0.0332,-2.4,-3546.23,True,-6120.98,2026-08-31 04:30:00,-2574.75,False,-3546.23,,0.0,False,-3546.23,,0.0
TRD_800249,USR_RET_010,2026-08-30 23:45:00,7250754.8076,0.0463,-6.72,-20910.82,True,-8864.45,2026-08-31 00:30:00,12046.37,True,-18890.48,2026-08-31 04:30:00,2020.34,False,-20910.82,,0.0
TRD_800352,USR_RET_013,2026-08-31 00:06:00,7018529.205,0.0287,-3.64,-6270.47,True,-5318.83,2026-08-31 04:30:00,951.64,False,-6270.47,,0.0,False,-6270.47,,0.0
TRD_800108,USR_RET_005,2026-08-31 04:35:00,6893419.1139,0.1022,-1.89,-6912.94,False,-6912.94,,0.0,False,-6912.94,,0.0,False,-6912.94,,0.0
TRD_800045,USR_RET_002,2026-08-31 06:18:00,6902256.2396,0.005,-2.02,-482.46,True,-911.27,2026-09-01 23:30:00,-428.81,False,-482.46,,0.0,False,-482.46,,0.0
TRD_800250,USR_RET_010,2026-08-31 07:00:00,6884965.6364,0.0286,-1.77,-2750.61,False,-2750.61,,0.0,False,-2750.61,,0.0,False,-2750.61,,0.0
TRD_800167,USR_RET_006,2026-08-31 10:04:00,6877815.2661,0.0116,-1.67,-476.82,False,-476.82,,0.0,False,-476.82,,0.0,False,-476.82,,0.0
TRD_800154,USR_RET_006,2026-08-31 15:31:00,6986733.3927,0.0075,-3.4,-1713.17,True,-1383.64,2026-09-01 21:30:00,329.53,False,-1713.17,,0.0,False,-1713.17,,0.0
TRD_800244,USR_RET_010,2026-08-31 19:51:00,6969329.0035,0.0199,-3.16,-3518.88,True,-3662.11,2026-09-01 23:30:00,-143.23,False,-3518.88,,0.0,False,-3518.88,,0.0
TRD_800119,USR_RET_005,2026-08-31 23:48:00,7013894.748,0.0176,-3.77,-3414.73,True,-3259.57,2026-09-01 18:30:00,155.16,False,-3414.73,,0.0,False,-3414.73,,0.0
TRD_800248,USR_RET_010,2026-09-01 00:06:00,7005503.2488,0.049,-3.66,-9094.08,True,-9064.07,2026-09-01 18:30:00,30.01,False,-9094.08,,0.0,False,-9094.08,,0.0
TRD_800336,USR_RET_013,2026-09-01 01:19:00,6999934.5058,0.0191,-3.58,-3499.39,True,-3530.33,2026-09-01 18:30:00,-30.94,False,-3499.39,,0.0,False,-3499.39,,0.0
TRD_800282,USR_RET_011,2026-09-01 04:07:00,6965231.4663,0.0187,-3.1,-3283.36,True,-3439.26,2026-09-01 23:30:00,-155.9,False,-3283.36,,0.0,False,-3283.36,,0.0
TRD_800078,USR_RET_003,2026-09-01 06:47:00,6953912.4837,0.0061,-2.94,-827.53,True,-1120.07,2026-09-01 23:30:00,-292.54,False,-827.53,,0.0,False,-827.53,,0.0
TRD_800091,USR_RET_004,2026-09-01 08:43:00,6974233.3328,0.0236,-3.22,-2949.35,True,-4346.07,2026-09-01 23:30:00,-1396.72,False,-2949.35,,0.0,False,-2949.35,,0.0
TRD_800356,USR_RET_014,2026-09-01 10:42:00,7023546.202,0.0062,-3.9,-1025.87,True,-1149.84,2026-09-01 15:30:00,-123.97,False,-1025.87,,0.0,False,-1025.87,,0.0
TRD_800326,USR_RET_012,2026-09-01 18:35:00,6913516.7377,0.0167,-2.37,604.79,True,-3048.62,2026-09-01 23:30:00,-3653.41,False,604.79,,0.0,False,604.79,,0.0
TRD_800328,USR_RET_012,2026-09-01 21:31:00,6874114.1319,0.0111,-1.81,2932.38,False,2932.38,,0.0,False,2932.38,,0.0,False,2932.38,,0.0
TRD_800192,USR_RET_007,2026-09-02 04:18:00,6854479.8968,0.0267,-1.53,7983.09,False,7983.09,,0.0,False,7983.09,,0.0,False,7983.09,,0.0
TRD_800048,USR_RET_002,2026-09-02 05:59:00,6839522.6604,0.0076,-1.32,2273.55,False,2273.55,,0.0,False,2273.55,,0.0,False,2273.55,,0.0
TRD_800275,USR_RET_011,2026-09-02 11:17:00,6891361.6301,0.0238,-2.06,5931.73,True,-4330.82,2026-09-02 15:30:00,-10262.55,False,5931.73,,0.0,False,5931.73,,0.0
TRD_800223,USR_RET_009,2026-09-02 11:58:00,6880984.8083,0.0252,-1.91,6099.92,False,6099.92,,0.0,False,6099.92,,0.0,False,6099.92,,0.0
TRD_800103,USR_RET_004,2026-09-02 12:17:00,6872055.6006,0.0179,-1.79,4493.35,False,4493.35,,0.0,False,4493.35,,0.0,False,4493.35,,0.0
TRD_800159,USR_RET_006,2026-09-02 12:24:00,6887853.4296,0.0508,-2.01,11946.34,True,-9239.22,2026-09-02 15:30:00,-21185.56,False,11946.34,,0.0,False,11946.34,,0.0
TRD_800259,USR_RET_010,2026-09-02 13:12:00,6872891.1707,0.0088,-1.8,2092.2,False,2092.2,,0.0,False,2092.2,,0.0,False,2092.2,,0.0
TRD_800058,USR_RET_002,2026-09-02 17:35:00,6800669.3651,0.0285,-0.3,5808.4,False,5808.4,,0.0,False,5808.4,,0.0,False,5808.4,,0.0
TRD_800247,USR_RET_010,2026-09-02 20:07:00,6829244.6616,0.0095,-0.54,1211.05,False,1211.05,,0.0,False,1211.05,,0.0,False,1211.05,,0.0
TRD_800320,USR_RET_012,2026-09-03 00:54:00,6854987.1751,0.0232,-0.63,4159.84,False,4159.84,,0.0,False,4159.84,,0.0,False,4159.84,,0.0
TRD_800177,USR_RET_007,2026-09-03 01:50:00,6865502.8351,0.0052,-0.78,833.16,False,833.16,,0.0,False,833.16,,0.0,False,833.16,,0.0
TRD_800272,USR_RET_011,2026-09-03 02:17:00,6857282.3169,0.0895,-0.67,15078.66,False,15078.66,,0.0,False,15078.66,,0.0,False,15078.66,,0.0
TRD_800245,USR_RET_010,2026-09-03 06:17:00,6836888.1303,0.013,-0.37,2314.09,False,2314.09,,0.0,False,2314.09,,0.0,False,2314.09,,0.0
TRD_800060,USR_RET_002,2026-09-03 07:39:00,6892914.9302,0.0524,-1.01,6360.2,False,6360.2,,0.0,False,6360.2,,0.0,False,6360.2,,0.0
TRD_800179,USR_RET_007,2026-09-03 08:34:00,6897101.7582,0.0329,-1.07,3892.62,False,3892.62,,0.0,False,3892.62,,0.0,False,3892.62,,0.0
TRD_800332,USR_RET_012,2026-09-03 10:24:00,6895565.7168,0.0832,-1.05,9368.56,False,9368.56,,0.0,False,9368.56,,0.0,False,9368.56,,0.0
TRD_800137,USR_RET_005,2026-09-03 11:07:00,6908212.8015,0.0061,-0.74,651.27,False,651.27,,0.0,False,651.27,,0.0,False,651.27,,0.0
TRD_800093,USR_RET_004,2026-09-03 13:10:00,6889684.4281,0.0257,-0.48,3523.17,False,3523.17,,0.0,False,3523.17,,0.0,False,3523.17,,0.0
TRD_800399,USR_RET_015,2026-09-03 22:16:00,7170805.2975,0.0176,-2.92,-2037.58,True,-3332.49,2026-09-04 17:30:00,-1294.91,False,-2037.58,,0.0,False,-2037.58,,0.0
TRD_800050,USR_RET_002,2026-09-04 01:31:00,7226223.2931,0.0141,-3.66,-2796.46,True,-2690.41,2026-09-04 17:30:00,106.05,False,-2796.46,,0.0,False,-2796.46,,0.0
TRD_800267,USR_RET_010,2026-09-04 01:38:00,7221897.0768,0.008,-3.61,-1551.89,True,-1525.56,2026-09-04 17:30:00,26.33,False,-1551.89,,0.0,False,-1551.89,,0.0
TRD_800362,USR_RET_014,2026-09-04 02:34:00,7227213.6435,0.0762,-3.68,-14054.31,True,-14541.65,2026-09-04 17:30:00,-487.34,False,-14054.31,,0.0,False,-14054.31,,0.0
TRD_800210,USR_RET_008,2026-09-04 06:37:00,7179283.6559,0.0791,-3.03,-10465.15,True,-14994.96,2026-09-04 17:30:00,-4529.81,False,-10465.15,,0.0,False,-10465.15,,0.0
TRD_800051,USR_RET_002,2026-09-04 15:36:00,7203076.6879,0.1329,-3.36,-20139.82,True,-25277.31,2026-09-04 17:30:00,-5137.49,False,-20139.82,,0.0,False,-20139.82,,0.0
TRD_800007,USR_RET_001,2026-09-04 16:23:00,7202358.2481,0.0335,-3.35,-5052.47,True,-6371.0,2026-09-04 17:30:00,-1318.53,False,-5052.47,,0.0,False,-5052.47,,0.0
TRD_800153,USR_RET_006,2026-09-04 18:02:00,7053473.6539,0.0207,-1.31,-177.75,False,-177.75,,0.0,False,-177.75,,0.0,False,-177.75,,0.0
TRD_800368,USR_RET_014,2026-09-05 03:52:00,7061889.5529,0.0169,-0.7,-88.8,False,-88.8,,0.0,False,-88.8,,0.0,False,-88.8,,0.0
TRD_800273,USR_RET_011,2026-09-05 08:24:00,7065102.6177,0.0325,-0.75,-796.02,False,-796.02,,0.0,False,-796.02,,0.0,False,-796.02,,0.0
TRD_800366,USR_RET_014,2026-09-05 10:40:00,7053879.5832,0.0062,-0.59,-144.97,False,-144.97,,0.0,False,-144.97,,0.0,False,-144.97,,0.0
TRD_800323,USR_RET_012,2026-09-05 12:06:00,7052723.9819,0.0213,-0.58,-662.21,False,-662.21,,0.0,False,-662.21,,0.0,False,-662.21,,0.0
TRD_800391,USR_RET_015,2026-09-05 15:40:00,7063104.7503,0.0345,-1.01,-2345.9,False,-2345.9,,0.0,False,-2345.9,,0.0,False,-2345.9,,0.0
TRD_800371,USR_RET_014,2026-09-05 17:43:00,7420614.8423,0.0317,-5.78,-12841.42,True,-6211.36,2026-09-05 18:30:00,6630.06,True,-13236.65,2026-09-05 18:30:00,-395.23,False,-12841.42,,0.0
TRD_800008,USR_RET_001,2026-09-06 00:43:00,7078697.8641,0.0054,-1.63,-448.94,False,-448.94,,0.0,False,-448.94,,0.0,False,-448.94,,0.0
TRD_800261,USR_RET_010,2026-09-06 01:05:00,7075874.5725,0.0192,-1.59,-1541.82,False,-1541.82,,0.0,False,-1541.82,,0.0,False,-1541.82,,0.0
TRD_800379,USR_RET_014,2026-09-06 02:22:00,7065266.1125,0.0365,-1.44,-2955.19,False,-2955.19,,0.0,False,-2955.19,,0.0,False,-2955.19,,0.0
TRD_800092,USR_RET_004,2026-09-07 03:23:00,7079322.6766,0.0222,-2.97,-3576.02,True,-4149.85,2026-09-08 11:30:00,-573.83,False,-3576.02,,0.0,False,-3576.02,,0.0
TRD_800339,USR_RET_013,2026-09-07 04:34:00,7366221.0254,0.052,-6.74,-23522.08,True,-10114.3,2026-09-07 05:30:00,13407.78,True,-21553.95,2026-09-07 12:30:00,1968.13,False,-23522.08,,0.0
TRD_800163,USR_RET_006,2026-09-07 05:31:00,7106930.3746,0.0247,-3.34,-4045.9,True,-4635.18,2026-09-07 20:30:00,-589.28,False,-4045.9,,0.0,False,-4045.9,,0.0
TRD_800085,USR_RET_004,2026-09-07 05:32:00,7113315.1194,0.0611,-3.43,-10399.94,True,-11476.28,2026-09-07 20:30:00,-1076.34,False,-10399.94,,0.0,False,-10399.94,,0.0
TRD_800020,USR_RET_001,2026-09-07 10:11:00,7061924.0166,0.0917,-2.73,-7656.4,True,-17099.37,2026-09-08 12:30:00,-9442.97,False,-7656.4,,0.0,False,-7656.4,,0.0
TRD_800138,USR_RET_005,2026-09-07 10:37:00,7080595.1056,0.0072,-2.98,-894.2,True,-1346.14,2026-09-08 11:30:00,-451.94,False,-894.2,,0.0,False,-894.2,,0.0
TRD_800117,USR_RET_005,2026-09-07 15:01:00,7031910.4213,0.0697,-2.31,-5073.13,True,-12941.78,2026-09-08 18:30:00,-7868.65,False,-5073.13,,0.0,False,-5073.13,,0.0
TRD_800301,USR_RET_011,2026-09-07 16:16:00,7029681.024,0.0306,-2.28,-2245.39,True,-5679.95,2026-09-08 18:30:00,-3434.56,False,-2245.39,,0.0,False,-2245.39,,0.0
TRD_800351,USR_RET_013,2026-09-07 21:13:00,6998068.5026,0.0081,-1.84,-569.05,False,-569.05,,0.0,False,-569.05,,0.0,False,-569.05,,0.0
TRD_800237,USR_RET_009,2026-09-07 23:24:00,7024756.1541,0.0128,-2.21,-1039.08,True,-2374.26,2026-09-08 18:30:00,-1335.18,False,-1039.08,,0.0,False,-1039.08,,0.0
TRD_800041,USR_RET_002,2026-09-08 00:16:00,7013065.4761,0.0163,-2.05,-1653.5,True,-3018.45,2026-09-08 18:30:00,-1364.95,False,-1653.5,,0.0,False,-1653.5,,0.0
TRD_800286,USR_RET_011,2026-09-08 07:37:00,6989497.0685,0.0376,-1.72,-3112.7,False,-3112.7,,0.0,False,-3112.7,,0.0,False,-3112.7,,0.0
TRD_800171,USR_RET_007,2026-09-08 12:24:00,6939955.6803,0.0096,-1.02,-267.83,False,-267.83,,0.0,False,-267.83,,0.0,False,-267.83,,0.0
TRD_800065,USR_RET_003,2026-09-08 13:00:00,6958159.1826,0.0196,-1.28,-1432.36,False,-1432.36,,0.0,False,-1432.36,,0.0,False,-1432.36,,0.0
TRD_800160,USR_RET_006,2026-09-08 13:23:00,6967188.5367,0.0052,-1.4,-427.16,False,-427.16,,0.0,False,-427.16,,0.0,False,-427.16,,0.0
TRD_800372,USR_RET_014,2026-09-08 15:40:00,6974823.1308,0.0241,-1.51,-2695.06,False,-2695.06,,0.0,False,-2695.06,,0.0,False,-2695.06,,0.0
TRD_800107,USR_RET_004,2026-09-08 22:00:00,6972307.1408,0.0139,-2.67,-2335.14,True,-2559.05,2026-09-10 17:30:00,-223.91,False,-2335.14,,0.0,False,-2335.14,,0.0
TRD_800311,USR_RET_012,2026-09-09 02:03:00,6956606.3957,0.0239,-2.45,-3494.37,True,-4390.19,2026-09-10 17:30:00,-895.82,False,-3494.37,,0.0,False,-3494.37,,0.0
TRD_800165,USR_RET_006,2026-09-09 04:02:00,6965290.9367,0.0093,-2.58,-1796.07,True,-1710.45,2026-09-10 17:30:00,85.62,False,-1796.07,,0.0,False,-1796.07,,0.0
TRD_800031,USR_RET_001,2026-09-09 08:06:00,6976309.3125,0.0777,-3.0,-15850.13,True,-14313.13,2026-09-10 17:30:00,1537.0,False,-15850.13,,0.0,False,-15850.13,,0.0
TRD_800200,USR_RET_008,2026-09-09 14:23:00,7077255.9042,0.0128,-4.38,-3312.24,True,-2392.01,2026-09-09 20:30:00,920.23,False,-3312.24,,0.0,False,-3312.24,,0.0
TRD_800072,USR_RET_003,2026-09-09 17:04:00,7038493.0,0.0251,-3.86,-6248.65,True,-4664.89,2026-09-10 01:30:00,1583.76,False,-6248.65,,0.0,False,-6248.65,,0.0
TRD_800183,USR_RET_007,2026-09-09 19:48:00,7009446.015,0.0839,-3.98,-5354.13,True,-15528.64,2026-09-10 17:30:00,-10174.51,False,-5354.13,,0.0,False,-5354.13,,0.0
TRD_800330,USR_RET_012,2026-09-09 22:33:00,6988408.9095,0.0458,-3.7,-7080.84,True,-8451.46,2026-09-10 17:30:00,-1370.62,False,-7080.84,,0.0,False,-7080.84,,0.0
TRD_800181,USR_RET_007,2026-09-09 22:59:00,6980042.8973,0.0212,-3.58,-3099.53,True,-3907.35,2026-09-10 17:30:00,-807.82,False,-3099.53,,0.0,False,-3099.53,,0.0
